domain_regime,location_name,lat,lng,franchise_url,maps_url,business_name,rating,review_count,category,address,hours,phone,status
AZ179,"Surprise, AZ",33.639,-112.386,https://homewellcares.com/in-home-care-az-surprise-az179,"https://www.google.com/maps/search/HomeWell+Care+Services+Surprise%2C+AZ/@33.639,-112.386,15z",HomeWell Care Services,,,,,,(888) 399-0309,ok
KS166,"Overland Park, KS",38.938,-94.665,https://homewellcares.com/in-home-care-ks-overland-park-ks166,"https://www.google.com/maps/search/HomeWell+Care+Services+Overland+Park%2C+KS/@38.938,-94.665,15z",HomeWell Care Services,,,,,,(913) 295-9205,ok
TX148,"Stafford, TX",29.642,-95.569,https://homewellcares.com/in-home-care-tx-stafford-tx148,"https://www.google.com/maps/search/HomeWell+Care+Services+Stafford%2C+TX/@29.642,-95.569,15z",,,19,,,,,ok
CA123,"San Rafael, CA",37.972,-122.533,https://homewellcares.com/in-home-care-ca-san-rafael-ca123,"https://www.google.com/maps/search/HomeWell+Care+Services+San+Rafael%2C+CA/@37.972,-122.533,15z",HomeWell Care Services,,,,,,(415) 599-4333,ok
VA184,"Fairfax, VA",38.866,-77.234,https://homewellcares.com/in-home-care-va-fairfax-va184,"https://www.google.com/maps/search/HomeWell+Care+Services+Fairfax%2C+VA/@38.866,-77.234,15z",HomeWell Care Services,,,,,,(703) 431-4706,ok
DE160,"Georgetown, DE",38.692,-75.384,https://homewellcares.com/in-home-care-de-georgetown-de160,"https://www.google.com/maps/search/HomeWell+Care+Services+Georgetown%2C+DE/@38.692,-75.384,15z",HomeWell Care Services,,,,,,(302) 467-3443,ok
OH114,"Cincinnati, OH",39.284,-84.45,https://homewellcares.com/in-home-care-oh-cincinnati-oh114,"https://www.google.com/maps/search/HomeWell+Care+Services+Cincinnati%2C+OH/@39.284,-84.45,15z",HomeWell Care Services,,,,,,(513) 791-4824,ok
KS182,"Wichita, KS",37.723,-97.363,https://homewellcares.com/in-home-care-ks-wichita-ks182,"https://www.google.com/maps/search/HomeWell+Care+Services+Wichita%2C+KS/@37.723,-97.363,15z",,,190,,,,,ok
WA118,"Seattle, WA",47.734,-122.356,https://homewellcares.com/in-home-care-wa-seattle-wa118,"https://www.google.com/maps/search/HomeWell+Care+Services+Seattle%2C+WA/@47.734,-122.356,15z",,,14,,,,,ok
TX140,"Cedar Park, TX",30.517,-97.777,https://homewellcares.com/in-home-care-tx-cedar-park-tx140,"https://www.google.com/maps/search/HomeWell+Care+Services+Cedar+Park%2C+TX/@30.517,-97.777,15z",HomeWell Care Services,,,,,,(512) 222-6196,ok
FL162,"Fort Myers, FL",26.554,-81.755,https://homewellcares.com/in-home-care-fl-fort-myers-fl162,"https://www.google.com/maps/search/HomeWell+Care+Services+Fort+Myers%2C+FL/@26.554,-81.755,15z",,,11,,,,,ok
NJ111,"Hackensack, NJ",40.898,-74.037,https://homewellcares.com/in-home-care-nj-hackensack-nj111,"https://www.google.com/maps/search/HomeWell+Care+Services+Hackensack%2C+NJ/@40.898,-74.037,15z",HomeWell Care Services,,,,,,(201) 487-9220,ok
FL177,"Orlando, FL",28.537,-81.379,https://homewellcares.com/in-home-care-fl-orlando-fl177,"https://www.google.com/maps/search/HomeWell+Care+Services+Orlando%2C+FL/@28.537,-81.379,15z",HomeWell Care Services,,,,,,(407) 726-7953,ok
CA151,"Roseville, CA",38.752,-121.268,https://homewellcares.com/in-home-care-ca-roseville-ca151,"https://www.google.com/maps/search/HomeWell+Care+Services+Roseville%2C+CA/@38.752,-121.268,15z",HomeWell Care Services,,,,,,(916) 751-5000,ok
MA155,"North Andover, MA",42.675,-71.146,https://homewellcares.com/in-home-care-ma-north-andover-ma155,"https://www.google.com/maps/search/HomeWell+Care+Services+North+Andover%2C+MA/@42.675,-71.146,15z",HomeWell Care Services,,,,,,(978) 409-2729,ok
GA113,"Sandy Springs, GA",33.926,-84.381,https://homewellcares.com/in-home-care-ga-sandy-springs-ga113,"https://www.google.com/maps/search/HomeWell+Care+Services+Sandy+Springs%2C+GA/@33.926,-84.381,15z",HomeWell Care Services,,,,,,(404) 474-2480,ok
FL173,"Tampa, FL",28.036,-82.489,https://homewellcares.com/in-home-care-fl-tampa-fl173,"https://www.google.com/maps/search/HomeWell+Care+Services+Tampa%2C+FL/@28.036,-82.489,15z",HomeWell Care Services,,,,,,,ok
CO167,"Loveland, CO",40.422,-105.098,https://homewellcares.com/in-home-care-co-loveland-co167,"https://www.google.com/maps/search/HomeWell+Care+Services+Loveland%2C+CO/@40.422,-105.098,15z",HomeWell Care Services,,,,,,(970) 461-4799,ok
CA178,"Torrance, CA",33.846,-118.329,https://homewellcares.com/in-home-care-ca-torrance-ca178,"https://www.google.com/maps/search/HomeWell+Care+Services+Torrance%2C+CA/@33.846,-118.329,15z",HomeWell Care Services,,,,,,,ok
FL172,"Sunrise, FL",26.138,-80.338,https://homewellcares.com/in-home-care-fl-sunrise-fl172,"https://www.google.com/maps/search/HomeWell+Care+Services+Sunrise%2C+FL/@26.138,-80.338,15z",HomeWell Care Services,,,,,,(954) 306-2562,ok
DE1602,"Smyrna, DE",39.257,-75.587,https://homewellcares.com/in-home-care-de-smyrna-de1602,"https://www.google.com/maps/search/HomeWell+Care+Services+Smyrna%2C+DE/@39.257,-75.587,15z",HomeWell Care Services,,,,,,,ok
MA156,"Beverly Farms, MA",42.562,-70.813,https://homewellcares.com/in-home-care-ma-beverly-farms-ma156,"https://www.google.com/maps/search/HomeWell+Care+Services+Beverly+Farms%2C+MA/@42.562,-70.813,15z",,,,,,,,ok
OR120,"Clackamas, OR",45.408,-122.552,https://homewellcares.com/in-home-care-or-clackamas-or120,"https://www.google.com/maps/search/HomeWell+Care+Services+Clackamas%2C+OR/@45.408,-122.552,15z",HomeWell Care Services,,,,,,(503) 344-6044,ok
MD146,"Gaithersburg, MD",39.121,-77.177,https://homewellcares.com/in-home-care-md-gaithersburg-md146,"https://www.google.com/maps/search/HomeWell+Care+Services+Gaithersburg%2C+MD/@39.121,-77.177,15z",HomeWell Care Services,,,,,,(301) 263-3502,ok
NC157,"Huntersville, NC",35.41,-80.85,https://homewellcares.com/in-home-care-nc-huntersville-nc157,"https://www.google.com/maps/search/HomeWell+Care+Services+Huntersville%2C+NC/@35.41,-80.85,15z",HomeWell Care Services,,,,,,,ok
TX175,"New Braunfels, TX",29.711,-98.166,https://homewellcares.com/in-home-care-tx-new-braunfels-tx175,"https://www.google.com/maps/search/HomeWell+Care+Services+New+Braunfels%2C+TX/@29.711,-98.166,15z",HomeWell Care Services,,,,,,(830) 214-2059,ok
FL1292,"The Villages, FL",28.914,-81.922,https://homewellcares.com/in-home-care-fl-the-villages-fl1292,"https://www.google.com/maps/search/HomeWell+Care+Services+The+Villages%2C+FL/@28.914,-81.922,15z",,,17,,,,,ok
AZ1312,"Scottsdale, AZ",33.581,-111.879,https://homewellcares.com/in-home-care-az-scottsdale-az1312,"https://www.google.com/maps/search/HomeWell+Care+Services+Scottsdale%2C+AZ/@33.581,-111.879,15z",HomeWell Care Services,,,,,,(480) 629-8322,ok
FL1802,"Bradenton, FL",27.392,-82.443,https://homewellcares.com/in-home-care-fl-bradenton-fl1802,"https://www.google.com/maps/search/HomeWell+Care+Services+Bradenton%2C+FL/@27.392,-82.443,15z",HomeWell Care Services,,,,,,,ok
OH1142,"Dayton, OH",39.626,-84.197,https://homewellcares.com/in-home-care-oh-dayton-oh1142,"https://www.google.com/maps/search/HomeWell+Care+Services+Dayton%2C+OH/@39.626,-84.197,15z",HomeWell Care Services,,,,,,,ok
NJ1112,"Union, NJ",40.697,-74.25,https://homewellcares.com/in-home-care-nj-union-nj1112,"https://www.google.com/maps/search/HomeWell+Care+Services+Union%2C+NJ/@40.697,-74.25,15z",HomeWell Care Services,,,,,,(908) 302-0200,ok
NJ1113,"Brick, NJ",40.064,-74.144,https://homewellcares.com/in-home-care-nj-brick-nj1113,"https://www.google.com/maps/search/HomeWell+Care+Services+Brick%2C+NJ/@40.064,-74.144,15z",HomeWell Care Services,,,,,,(732) 451-8200,ok
CO1673,"Westminster, CO",39.85,-105.049,https://homewellcares.com/in-home-care-co-westminster-co1673,"https://www.google.com/maps/search/HomeWell+Care+Services+Westminster%2C+CO/@39.85,-105.049,15z",HomeWell Care Services,,,,,,,ok
CO1674,"Englewood, CO",39.668,-104.99,https://homewellcares.com/in-home-care-co-englewood-co1674,"https://www.google.com/maps/search/HomeWell+Care+Services+Englewood%2C+CO/@39.668,-104.99,15z",HomeWell Care Services,,,,,,(303) 487-5471,ok
AZ183,"Glendale, AZ",33.568,-112.182,https://homewellcares.com/in-home-care-az-glendale-az183,"https://www.google.com/maps/search/HomeWell+Care+Services+Glendale%2C+AZ/@33.568,-112.182,15z",,,,,,,,ok
MO193,"St Louis, MO",38.673,-90.374,https://homewellcares.com/in-home-care-mo-st-louis-mo193,"https://www.google.com/maps/search/HomeWell+Care+Services+St+Louis%2C+MO/@38.673,-90.374,15z",HomeWell Care Services,,,,,,(314) 970-2065,ok
IL207,"Lake Forest, IL",42.254,-87.842,https://homewellcares.com/in-home-care-il-lake-forest-il207,"https://www.google.com/maps/search/HomeWell+Care+Services+Lake+Forest%2C+IL/@42.254,-87.842,15z",HomeWell Care Services,,,,,,,ok
FL196,"Flagler Beach, FL",29.477,-81.126,https://homewellcares.com/in-home-care-fl-flagler-beach-fl196,"https://www.google.com/maps/search/HomeWell+Care+Services+Flagler+Beach%2C+FL/@29.477,-81.126,15z",,,11,,,,,ok
MS221,"Madison, MS",32.517,-90.094,https://homewellcares.com/in-home-care-ms-madison-ms221,"https://www.google.com/maps/search/HomeWell+Care+Services+Madison%2C+MS/@32.517,-90.094,15z",HomeWell Care Services,,,,,,(601) 790-7097,ok
NC197,"Fayetteville, NC",35.047,-78.918,https://homewellcares.com/in-home-care-nc-fayetteville-nc197,"https://www.google.com/maps/search/HomeWell+Care+Services+Fayetteville%2C+NC/@35.047,-78.918,15z",HomeWell Care Services,,,,,,(910) 491-0043,ok
PA199,"Philadelphia, PA",39.953,-75.166,https://homewellcares.com/in-home-care-pa-philadelphia-pa199,"https://www.google.com/maps/search/HomeWell+Care+Services+Philadelphia%2C+PA/@39.953,-75.166,15z",,,14,,,,,ok
TX205,"Carrollton, TX",33.014,-96.886,https://homewellcares.com/in-home-care-tx-carrollton-tx205,"https://www.google.com/maps/search/HomeWell+Care+Services+Carrollton%2C+TX/@33.014,-96.886,15z",HomeWell Care Services,,,,,,(469) 546-3377,ok
IN219,"Valparaiso, IN",41.454,-87.036,https://homewellcares.com/in-home-care-in-valparaiso-in219,"https://www.google.com/maps/search/HomeWell+Care+Services+Valparaiso%2C+IN/@41.454,-87.036,15z",HomeWell Care Services,,,,,,(219) 476-3239,ok
MN203,"Edina, MN",44.87,-93.352,https://homewellcares.com/in-home-care-mn-edina-mn203,"https://www.google.com/maps/search/HomeWell+Care+Services+Edina%2C+MN/@44.87,-93.352,15z",HomeWell Care Services,,,,,,(612) 489-6257,ok
TX206,"Humble, TX",30.052,-95.231,https://homewellcares.com/in-home-care-tx-humble-tx206,"https://www.google.com/maps/search/HomeWell+Care+Services+Humble%2C+TX/@30.052,-95.231,15z",HomeWell Care Services,,,,,,,ok
TX212,"Pearland, TX",29.553,-95.396,https://homewellcares.com/in-home-care-tx-pearland-tx212,"https://www.google.com/maps/search/HomeWell+Care+Services+Pearland%2C+TX/@29.553,-95.396,15z",HomeWell Care Services,,,,,,(832) 564-4868,ok
VA217,"Fredericksburg, VA",38.303,-77.513,https://homewellcares.com/in-home-care-va-fredericksburg-va217,"https://www.google.com/maps/search/HomeWell+Care+Services+Fredericksburg%2C+VA/@38.303,-77.513,15z",HomeWell Care Services,,,,,,(571) 921-9990,ok
NC222,"Greenville, NC",35.58,-77.359,https://homewellcares.com/in-home-care-nc-greenville-nc222,"https://www.google.com/maps/search/HomeWell+Care+Services+Greenville%2C+NC/@35.58,-77.359,15z",HomeWell Care Services,,,,,,(252) 298-6131,ok
NC218,"Greensboro, NC",36.088,-79.771,https://homewellcares.com/in-home-care-nc-greensboro-nc218,"https://www.google.com/maps/search/HomeWell+Care+Services+Greensboro%2C+NC/@36.088,-79.771,15z",HomeWell Care Services,,,,,,(336) 900-5673,ok
TX225,"Galveston, TX",29.306,-94.792,https://homewellcares.com/in-home-care-tx-galveston-tx225,"https://www.google.com/maps/search/HomeWell+Care+Services+Galveston%2C+TX/@29.306,-94.792,15z",HomeWell Care Services,,,,,,,ok
FL189,"Largo, FL",27.924,-82.796,https://homewellcares.com/in-home-care-fl-largo-fl189,"https://www.google.com/maps/search/HomeWell+Care+Services+Largo%2C+FL/@27.924,-82.796,15z",HomeWell Care Services,,,,,,,ok
PA1992,"Aston, PA",39.852,-75.428,https://homewellcares.com/in-home-care-pa-aston-pa1992,"https://www.google.com/maps/search/HomeWell+Care+Services+Aston%2C+PA/@39.852,-75.428,15z",,,15,,,,,ok
NC1572,"Charlotte, NC",35.239,-80.915,https://homewellcares.com/in-home-care-nc-charlotte-nc1572,"https://www.google.com/maps/search/HomeWell+Care+Services+Charlotte%2C+NC/@35.239,-80.915,15z",,,13,,,,,ok
TX223,"The Woodlands, TX",30.136,-95.443,https://homewellcares.com/in-home-care-tx-the-woodlands-tx223,"https://www.google.com/maps/search/HomeWell+Care+Services+The+Woodlands%2C+TX/@30.136,-95.443,15z",HomeWell Care Services,,,,,,,ok
AZ236,Glendale AZ (N),33.644,-112.23,https://homewellcares.com/in-home-care-az-glendale-az236,"https://www.google.com/maps/search/HomeWell+Care+Services+Glendale+AZ/@33.644,-112.23,15z",,,1,,,,,ok
WI241,"Mequon, WI",43.227,-87.924,https://homewellcares.com/in-home-care-wi-mequon-wi241,"https://www.google.com/maps/search/HomeWell+Care+Services+Mequon%2C+WI/@43.227,-87.924,15z",HomeWell Care Services,,,,,,,ok
IL214,"Chicago, IL",41.973,-87.807,https://homewellcares.com/in-home-care-il-chicago-il214,"https://www.google.com/maps/search/HomeWell+Care+Services+Chicago%2C+IL/@41.973,-87.807,15z",,,5,,,,,ok
CO1675,"Parker, CO",39.526,-104.77,https://homewellcares.com/in-home-care-co-parker-co1675,"https://www.google.com/maps/search/HomeWell+Care+Services+Parker%2C+CO/@39.526,-104.77,15z",HomeWell Care Services,,,,,,,ok
PA209,Philadelphia PA (N),39.977,-75.274,https://homewellcares.com/in-home-care-pa-philadelphia-pa209,"https://www.google.com/maps/search/HomeWell+Care+Services+Philadelphia+PA/@39.977,-75.274,15z",,,15,,,,,ok
FL215,"Miami, FL",25.66,-80.326,https://homewellcares.com/in-home-care-fl-miami-fl215,"https://www.google.com/maps/search/HomeWell+Care+Services+Miami%2C+FL/@25.66,-80.326,15z",HomeWell Care Services,,,,,,,ok
GA235,"Atlanta, GA",33.854,-84.25,https://homewellcares.com/in-home-care-ga-atlanta-ga235,"https://www.google.com/maps/search/HomeWell+Care+Services+Atlanta%2C+GA/@33.854,-84.25,15z",,,172,,,,,ok
WI249,"Brookfield, WI",43.039,-88.122,https://homewellcares.com/in-home-care-wi-brookfield-wi249,"https://www.google.com/maps/search/HomeWell+Care+Services+Brookfield%2C+WI/@43.039,-88.122,15z",HomeWell Care Services,,,,,,,ok
IL226,"Edwardsville, IL",38.785,-89.98,https://homewellcares.com/in-home-care-il-edwardsville-il226,"https://www.google.com/maps/search/HomeWell+Care+Services+Edwardsville%2C+IL/@38.785,-89.98,15z",HomeWell Care Services,,,,,,,ok
CT248,"Danbury, CT",41.389,-73.498,https://homewellcares.com/in-home-care-ct-danbury-ct248,"https://www.google.com/maps/search/HomeWell+Care+Services+Danbury%2C+CT/@41.389,-73.498,15z",HomeWell Care Services,,,,,,,ok
AZ244,Mesa AZ (W),33.416,-111.856,https://homewellcares.com/in-home-care-az-mesa-az244,"https://www.google.com/maps/search/HomeWell+Care+Services+Mesa+AZ/@33.416,-111.856,15z",HomeWell Care Services,,,,,,,ok
MI251,"Auburn Hills, MI",42.679,-83.247,https://homewellcares.com/in-home-care-mi-auburn-hills-mi251,"https://www.google.com/maps/search/HomeWell+Care+Services+Auburn+Hills%2C+MI/@42.679,-83.247,15z",HomeWell Care Services,,,,,,,ok
TX237,"Garland, TX",32.895,-96.666,https://homewellcares.com/in-home-care-tx-garland-tx237,"https://www.google.com/maps/search/HomeWell+Care+Services+Garland%2C+TX/@32.895,-96.666,15z",HomeWell Care Services,,,,,,,ok
IN256,"Carmel, IN",39.93,-86.11,https://homewellcares.com/in-home-care-in-carmel-in256,"https://www.google.com/maps/search/HomeWell+Care+Services+Carmel%2C+IN/@39.93,-86.11,15z",HomeWell Care Services,,,,,,,ok
FL260,Jacksonville FL (SE),30.263,-81.625,https://homewellcares.com/in-home-care-fl-jacksonville-fl260,"https://www.google.com/maps/search/HomeWell+Care+Services+Jacksonville+FL/@30.263,-81.625,15z",,,6,,,,,ok
IL250,"Glendale Heights, IL",41.931,-88.08,https://homewellcares.com/in-home-care-il-glendale-heights-il250,"https://www.google.com/maps/search/HomeWell+Care+Services+Glendale+Heights%2C+IL/@41.931,-88.08,15z",HomeWell Care Services,,,,,,,ok
NV239,"Las Vegas, NV",36.195,-115.25,https://homewellcares.com/in-home-care-nv-las-vegas-nv239,"https://www.google.com/maps/search/HomeWell+Care+Services+Las+Vegas%2C+NV/@36.195,-115.25,15z",,,43,,,,,ok
NC258,"Raleigh, NC",35.834,-78.667,https://homewellcares.com/in-home-care-nc-raleigh-nc258,"https://www.google.com/maps/search/HomeWell+Care+Services+Raleigh%2C+NC/@35.834,-78.667,15z",HomeWell Care Services,,,,,,,ok
CT264,"Simsbury, CT",41.873,-72.802,https://homewellcares.com/in-home-care-ct-simsbury-ct264,"https://www.google.com/maps/search/HomeWell+Care+Services+Simsbury%2C+CT/@41.873,-72.802,15z",HomeWell Care Services,,,,,,,ok
MA267,"Taunton, MA",41.902,-71.09,https://homewellcares.com/in-home-care-ma-taunton-ma267,"https://www.google.com/maps/search/HomeWell+Care+Services+Taunton%2C+MA/@41.902,-71.09,15z",HomeWell Care Services,,,,,,,ok
FL262,Jacksonville FL (N),30.484,-81.603,https://homewellcares.com/in-home-care-fl-jacksonville-fl262,"https://www.google.com/maps/search/HomeWell+Care+Services+Jacksonville+FL/@30.484,-81.603,15z",,,,,,,,ok
AZ276,"Goodyear, AZ",33.468,-112.384,https://homewellcares.com/in-home-care-az-goodyear-az276,"https://www.google.com/maps/search/HomeWell+Care+Services+Goodyear%2C+AZ/@33.468,-112.384,15z",HomeWell Care Services,,,,,,,ok
SC259,"Mount Pleasant, SC",32.811,-79.868,https://homewellcares.com/in-home-care-sc-mount-pleasant-sc259,"https://www.google.com/maps/search/HomeWell+Care+Services+Mount+Pleasant%2C+SC/@32.811,-79.868,15z",HomeWell Care Services,,,,,,,ok
SC272,"Fort Mill, SC",35.058,-80.992,https://homewellcares.com/in-home-care-sc-fort-mill-sc272,"https://www.google.com/maps/search/HomeWell+Care+Services+Fort+Mill%2C+SC/@35.058,-80.992,15z",HomeWell Care Services,,,,,,,ok
TX270,"Temple, TX",31.079,-97.408,https://homewellcares.com/in-home-care-tx-temple-tx270,"https://www.google.com/maps/search/HomeWell+Care+Services+Temple%2C+TX/@31.079,-97.408,15z",HomeWell Care Services,,,,,,,ok
GA268,"Gainesville, GA",34.302,-83.827,https://homewellcares.com/in-home-care-ga-gainesville-ga268,"https://www.google.com/maps/search/HomeWell+Care+Services+Gainesville%2C+GA/@34.302,-83.827,15z",HomeWell Care Services,,,,,,,ok
MI265,"Ann Arbor, MI",42.225,-83.732,https://homewellcares.com/in-home-care-mi-ann-arbor-mi265,"https://www.google.com/maps/search/HomeWell+Care+Services+Ann+Arbor%2C+MI/@42.225,-83.732,15z",HomeWell Care Services,,,,,,,ok
MD247,"Pikesville, MD",39.37,-76.716,https://homewellcares.com/in-home-care-md-pikesville-md247,"https://www.google.com/maps/search/HomeWell+Care+Services+Pikesville%2C+MD/@39.37,-76.716,15z",HomeWell Care Services,,,,,,,ok
PA277,"Bensalem, PA",40.086,-74.935,https://homewellcares.com/in-home-care-pa-bensalem-pa277,"https://www.google.com/maps/search/HomeWell+Care+Services+Bensalem%2C+PA/@40.086,-74.935,15z",HomeWell Care Services,,,,,,,ok
FL263,"Apollo Beach, FL",27.769,-82.394,https://homewellcares.com/in-home-care-fl-apollo-beach-fl263,"https://www.google.com/maps/search/HomeWell+Care+Services+Apollo+Beach%2C+FL/@27.769,-82.394,15z",HomeWell Care Services,,,,,,,ok
MI252,"Saginaw, MI",43.485,-83.969,https://homewellcares.com/in-home-care-mi-saginaw-mi252,"https://www.google.com/maps/search/HomeWell+Care+Services+Saginaw%2C+MI/@43.485,-83.969,15z",HomeWell Care Services,,,,,,,ok
MD242,"Crofton, MD",38.992,-76.7,https://homewellcares.com/in-home-care-md-crofton-md242,"https://www.google.com/maps/search/HomeWell+Care+Services+Crofton%2C+MD/@38.992,-76.7,15z",HomeWell Care Services,,,,,,,ok
NC284,"Carolina Beach, NC",34.046,-77.898,https://homewellcares.com/in-home-care-nc-carolina-beach-nc284,"https://www.google.com/maps/search/HomeWell+Care+Services+Carolina+Beach%2C+NC/@34.046,-77.898,15z",HomeWell Care Services,,,,,,,ok
AR1742,"Springdale, AR",36.155,-94.143,https://homewellcares.com/in-home-care-ar-springdale-ar1742,"https://www.google.com/maps/search/HomeWell+Care+Services+Springdale%2C+AR/@36.155,-94.143,15z",HomeWell Care Services,,,,,,,ok
NV253,Las Vegas NV (NW),36.141,-115.244,https://homewellcares.com/in-home-care-nv-las-vegas-nv253,"https://www.google.com/maps/search/HomeWell+Care+Services+Las+Vegas+NV/@36.141,-115.244,15z",,,43,,,,,ok
GA274,Atlanta GA (NE),33.847,-84.369,https://homewellcares.com/in-home-care-ga-atlanta-ga274,"https://www.google.com/maps/search/HomeWell+Care+Services+Atlanta+GA/@33.847,-84.369,15z",,,172,,,,,ok
CA273,"Lake Forest, CA",33.661,-117.672,https://homewellcares.com/in-home-care-ca-lake-forest-ca273,"https://www.google.com/maps/search/HomeWell+Care+Services+Lake+Forest%2C+CA/@33.661,-117.672,15z",HomeWell Care Services,,,,,,,ok
OK287,"Oklahoma City, OK",35.449,-97.689,https://homewellcares.com/in-home-care-ok-oklahoma-city-ok287,"https://www.google.com/maps/search/HomeWell+Care+Services+Oklahoma+City%2C+OK/@35.449,-97.689,15z",HomeWell Care Services,,,,,,,ok
